nyc_transit/target/compiled/nyc_transit/analyses/trips_duration_grouped_by_borough_zone.sql
select
    Borough,
    Zone,
    count(*),
    avg(duration_min)
from
    "main"."mart"."mart__dim_locations" dl
join
    "main"."mart"."mart__fact_all_taxi_trips" t
on dl.LocationID = t.pulocationid
group by all
order by Borough, Zone;
'Borough','Zone','count_star()','avg(duration_min)'
'Bronx','Allerton/Pelham Gardens',79265,15.065363022771714796
'Bronx','Bedford Park',184629,15.379615336702251227
'Bronx','Belmont',110060,15.676267490459748543
'Bronx','Bronx Park',15648,19.901904396728017587
'Bronx','Bronxdale',100726,15.685155769116216006
'Bronx','City Island',7759,23.254800876401599651
'Bronx','Claremont/Bathgate',138417,15.285225080734303304
'Bronx','Co-Op City',133845,16.749396690201351134
'Bronx','Country Club',10361,15.975581507576489315
'Bronx','Crotona Park',5848,15.787790697674418893
'Bronx','Crotona Park East',97095,15.290787373191204068
'Bronx','East Concourse/Concourse Village',204852,16.048625349032473508
'Bronx','East Tremont',169957,15.362727042722571724
'Bronx','Eastchester',103462,15.078009317430554503
'Bronx','Fordham South',88003,15.741167914730180398
'Bronx','Highbridge',139357,15.486950781087422512
'Bronx','Hunts Point',119710,16.096575056386267732
'Bronx','Kingsbridge Heights',105540,15.313947318552207476
'Bronx','Longwood',89396,16.327609736453531751
'Bronx','Melrose South',175700,16.606977803073419864
'Bronx','Morrisania/Melrose',155583,16.237455248966789156
'Bronx','Mott Haven/Port Morris',229669,16.760315932929565008
'Bronx','Mount Hope',199348,15.004424423621005146
'Bronx','Norwood',156302,15.859214853296823121
'Bronx','Parkchester',95768,16.260661181187870738
'Bronx','Pelham Bay',44926,15.313537817744736102
'Bronx','Pelham Bay Park',7961,15.802914206757945336
'Bronx','Pelham Parkway',117703,16.078111857811610008
'Bronx','Rikers Island',15,24.60000000000000142
'Bronx','Riverdale/North Riverdale/Fieldston',54622,17.805279923840210187
'Bronx','Schuylerville/Edgewater Park',109207,16.021921671687710641
'Bronx','Soundview/Bruckner',100483,14.475602838291054652
'Bronx','Soundview/Castle Hill',202161,15.448365411726296513
'Bronx','Spuyten Duyvil/Kingsbridge',119066,15.553659315001763019
'Bronx','University Heights/Morris Heights',183443,15.360215434767203745
'Bronx','Van Cortlandt Park',21897,15.149792208978398733
'Bronx','Van Cortlandt Village',147042,15.519783463228193909
'Bronx','Van Nest/Morris Park',148675,16.05010257272574492
'Bronx','West Concourse',192061,14.860960840566278307
'Bronx','West Farms/Bronx River',101685,14.639986231990953057
'Bronx','Westchester Village/Unionport',92018,15.326892564498249882
'Bronx','Williamsbridge/Olinville',184230,15.691315203821309509
'Bronx','Woodlawn/Wakefield',112116,15.573370437760891249
'Brooklyn','Bath Beach',37672,16.881264599702696215
'Brooklyn','Bay Ridge',177334,17.378579403836827311
'Brooklyn','Bedford',316182,17.725199410466125016
'Brooklyn','Bensonhurst East',88734,16.371717718123829143
'Brooklyn','Bensonhurst West',115360,16.471567267683774105
'Brooklyn','Boerum Hill',177928,19.490007193921137229
'Brooklyn','Borough Park',172245,16.257627217045488521
'Brooklyn','Brighton Beach',73674,16.16005646496728687
'Brooklyn','Brooklyn Heights',153460,19.698462139971329776
'Brooklyn','Brooklyn Navy Yard',27056,18.432177705499704245
'Brooklyn','Brownsville',263540,16.678010928132351864
'Brooklyn','Bushwick North',257089,17.965342741229690659
